Set,Price_Euro,Pieces,Minifigs
BOOMTOWN BUILD Discover More,NaN,12,NaN
Butterfly,NaN,45,NaN
LEGO System House,NaN,985,NaN
LEGO Play Day polybag,NaN,39,5
Christmas X-wing,NaN,1038,3
Reusable Bag,NaN,NaN,NaN
Yoda Minifigure Link Watch,NaN,NaN,NaN
2x4 Red Luggage Tag,4.99,NaN,NaN
2x4 Blue Luggage Tag,4.99,NaN,NaN
LEGO Pencils 6 pack,3.99,NaN,NaN
Building a Dream - The Story of the LEGO House,NaN,NaN,NaN
Emma Buildable Watch,NaN,NaN,NaN
Boy Luggage Tag,7.99,NaN,NaN
Storage Bag,NaN,NaN,NaN
Emmet Alarm Clock,29.99,NaN,NaN
Wyldstyle Alarm Clock,29.23,NaN,NaN
Emmet Minifigure Link Watch,24.99,NaN,NaN
Unikitty Buildable Watch with Figure Link,24.99,NaN,NaN
Wyldstyle Minifigure Link Watch,24.36,NaN,NaN
Hot Dog Guy Key Light,12.99,NaN,NaN
Banana Guy Key Light,12.99,NaN,NaN
Batman Luggage Tag,7.99,NaN,NaN
Emmet Luggage Tag,7.99,NaN,NaN
Sweet Mayhem Luggage Tag,7.99,NaN,NaN
Unikitty Luggage Tag,7.99,NaN,NaN
Unikitty Night Light,34.99,NaN,NaN
THE LEGO MOVIE 2 Sticker Roll,3.99,NaN,NaN
Batman Key Light,12.99,NaN,NaN
Emmet Key Light,12.99,NaN,NaN
Unikitty Key Light,12.99,NaN,NaN
Boy NiteLite,NaN,NaN,NaN
Girl NiteLite,NaN,NaN,NaN
Unikitty Torch,NaN,NaN,NaN
Bag Tag,NaN,NaN,NaN
Lunch Set Iconic Girl,NaN,NaN,NaN
The LEGO Movie 2 Awesome Trading Cards,NaN,NaN,NaN
The LEGO Movie 2 Awesome Collector Album,NaN,NaN,NaN
Holographic Brick Backpack,NaN,NaN,NaN
Boba Fett Bag Tag,7.99,NaN,NaN
